Dirección,Ciudad y CP,Colecciones,Latitud,Longitud,Hub_Logístico,Superficie_Est
Fan SC - Cardenal Rossell S-N,Palma 07007,Mujer+Hombre+Niños,39.5823224,2.6743315,Palma,Grande (~600-800m²)
CC As Termas - Av Duquesa de Lugo Infanta Elena (Polígono Industrial o Ceao),Lugo 27297,Mujer+Hombre+Niños,42.8071209,-7.6160914,Santiago,Grande (~600-800m²)
Colón 31,Valencia 46004,Hombre,39.4266335,-0.3860554,Valencia,Estándar (~250-300m²)
"westfield glories - AVINGUDA DIAGONAL, 208",Barcelona 08018,Mujer+Niños,41.3752877,2.1495932,Barcelona,Mediana (~400m²)
"PLAZA MARQUES DE PALMER, 6",Palma 07001,Hombre,39.5823224,2.6743315,Palma,Estándar (~250-300m²)
"C/PRINCIPE, 45",Vigo 36202,Niños,42.2376602,-8.7247205,Santiago,Estándar (~250-300m²)
"C/VICENTE CUERVO, 15",Ibiza 07800,Niños,38.9101024,1.4327422,Palma,Estándar (~250-300m²)
"rio shopping - calle ME FALTA UN TORNILLO,3",Valladolid 47195,Mujer,41.6490455,-4.72581,Madrid,Estándar (~250-300m²)
"PLAZA DE ESPAÑA, 19 local 3",Madrid 28013,Mujer+Hombre+Niños,40.4237276,-3.6899043,Madrid,Grande (~600-800m²)
"C/NUEVA, 24",Málaga 29005,Niños,36.7200569,-4.4228136,Málaga,Estándar (~250-300m²)
Dos Mares - San Javier Dos mares N-332 cruce el mirador ( Murcia ) local A-02,Murcia 30730,Mujer,37.9923795,-1.1305431,Valencia,Estándar (~250-300m²)
"CC AQUA - C/DE MENORCA, 19",Valencia 46023,Niños,39.4657654,-0.3817825,Valencia,Estándar (~250-300m²)
"C/URIA, 26",Oviedo 33003,Niños,43.3636365,-5.8505289,Santiago,Estándar (~250-300m²)
"PLAZA NORTE 2 - MANGO KIDS - PL. DEL COMERCIO, 11-12",San Sebastián de los Reyes 28703,Niños,40.5433113,-3.6279183,Madrid,Estándar (~250-300m²)
"Plaza norte 2 - PLAZA NORTE 2, B62A-MANGO TEEN",Madrid 28703,Niños,40.4237276,-3.6899043,Madrid,Estándar (~250-300m²)
"BAHIA SUR - AVDA. CAÑO HERRERA, S/N",San Fernando 11100,Niños,36.4646672,-6.1983492,Sevilla,Estándar (~250-300m²)
"Centro Comercial Larios - Av. DE LA AURORA, 25",Málaga 29002,Niños,36.7615185,-4.4748558,Málaga,Estándar (~250-300m²)
"PASEO GRACIA, 65",Barcelona 08008,Niños,41.3753594,2.1494898,Barcelona,Estándar (~250-300m²)
"Gran Jonquera SC - Av.DE GALICIA, 22-28",La Jonquera 17700,Mujer+Hombre+Niños,42.4289545,2.868215,Barcelona,Grande (~600-800m²)
"AVENIDA DIAGONAL, 514",Barcelona 08006,Mujer+Hombre+Niños,41.3754487,2.1492186,Barcelona,Grande (~600-800m²)
"Lagoh - Av. DE PALMAS ALTAS, 1",Sevilla 41012,Niños,37.3765826,-5.9860005,Sevilla,Estándar (~250-300m²)
